dataset,model,acc,auroc,brier,ece
big-math-digits,Qwen2.5-3B-Instruct,0.522,0.5637514227544526,0.464219,0.4676000000000002
big-math-digits,Qwen2.5-7B-Instruct,0.614,0.5523873014801438,0.37892539999999997,0.38118
big-math-digits,RLCR-math-Qwen2_5-3B-Instruct,0.63,0.7791655941655942,0.1804025,0.12004999999999992
big-math-digits,RLCR-math-Qwen2_5-3B-Instruct-std,0.599,0.8173431196632792,0.18536057877577877,0.15598566566566657
big-math-digits,SMCR-math-Qwen2_5-3B-Instruct,0.603,0.8029249219895485,0.19165035566666672,0.188307
big-math-digits,SMCR-math-Qwen2_5-3B-Instruct-std,0.615,0.7818287403653259,0.21092440533,0.20380669999999995
big-math-digits,SMCR-math-Qwen2_5-7B-Instruct,0.706,0.7609580659459251,0.18632839999999998,0.18315999999999996
commonsenseqa,Qwen2.5-3B-Instruct,0.8607698607698607,0.6194436670957632,0.12761875511875512,0.11592956592956599
commonsenseqa,Qwen2.5-7B-Instruct,0.8869778869778869,0.6851907610368407,0.10002457002457002,0.07534807534807533
commonsenseqa,RLCR-hotpot-Qwen2_5-3B-Instruct-std,0.85995085995086,0.7004204956836535,0.1953462358722359,0.21305978705978712
commonsenseqa,RLCR-math-Qwen2_5-3B-Instruct,0.8542178542178542,0.7051719865987268,0.1655692055692056,0.22669942669942675
commonsenseqa,RLCR-math-Qwen2_5-3B-Instruct-std,0.864045864045864,0.7398332667161538,0.22553820183820264,0.28558285476385487
commonsenseqa,SMCR-hotpot-Qwen2_5-3B-Instruct,0.8828828828828829,0.6987947117817247,0.19725225225225226,0.30540540540540545
commonsenseqa,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier,0.8468468468468469,0.709882704620445,0.3007350532350532,0.42321867321867324
commonsenseqa,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier-std,0.864045864045864,0.7006423799463256,0.3003900081900082,0.3455200655200655
commonsenseqa,SMCR-hotpot-Qwen2_5-3B-Instruct-scale-weight,0.8796068796068796,0.7342726662359542,0.27123464373464373,0.4156838656838656
commonsenseqa,SMCR-hotpot-Qwen2_5-3B-Instruct-std,0.8746928746928747,0.7465851509142983,0.1741023751023751,0.2095986895986896
